Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170827;21;18400;17782,588
20170827;22;17700;17114,000
20170827;23;16800;16249,663
20170827;24;15600;15228,025
20170828;1;14400;14529,238
20170828;2;13900;14038,350
20170828;3;13500;13840,125
20170828;4;13600;13736,975
20170828;5;14100;14002,450
20170828;6;14900;14493,300
20170828;7;17800;16819,288
20170828;8;19900;19132,900
20170828;9;20800;20599,700
20170828;10;21100;21179,175
20170828;11;21700;21303,100
20170828;12;21900;21616,800
20170828;13;22100;21787,638
20170828;14;22200;21646,263
20170828;15;21800;21381,338
20170828;16;21400;21247,300
20170828;17;21100;20805,663
20170828;18;20800;20484,925
20170828;19;20600;20275,888
20170828;20;21800;20836,250
20170828;21;22100;21888,600
20170828;22;20600;20502,413
20170828;23;19000;18864,913
20170828;24;17400;17342,525
20170829;1;16400;16261,400
20170829;2;15800;15579,363
20170829;3;15500;15317,938
20170829;4;15400;15296,200
20170829;5;15700;15578,363
20170829;6;16100;15823,900
20170829;7;18900;17521,350
20170829;8;20500;19581,913
20170829;9;21300;20873,725
20170829;10;21500;21392,175
20170829;11;21900;21475,538
20170829;12;21900;21902,888
20170829;13;22100;22053,563
20170829;14;22100;22033,213
20170829;15;21700;21582,563
20170829;16;21400;21308,138
20170829;17;21000;20978,875
20170829;18;20700;20672,550
20170829;19;20600;20412,863
20170829;20;21900;20940,325
20170829;21;22200;21999,063
20170829;22;20800;20583,638
20170829;23;19100;18823,500
20170829;24;17600;17402,700
20170830;1;16500;16340,663
20170830;2;15900;15762,875
20170830;3;15500;15418,313
20170830;4;15600;15419,788
20170830;5;15800;15627,163
20170830;6;16200;15928,963
20170830;7;18900;17777,838
20170830;8;20600;19849,250
20170830;9;21400;21184,025
20170830;10;21700;21722,013
20170830;11;22000;21831,225
20170830;12;22100;22221,538
20170830;13;22300;22263,100
20170830;14;22300;22311,200
20170830;15;22000;22077,788
20170830;16;21800;21845,150
20170830;17;21300;21440,963
20170830;18;20900;20994,663
20170830;19;20900;20734,625
20170830;20;21800;21459,950
20170830;21;22300;22313,125
20170830;22;21000;20790,088
